file,url,boxes,is_primary,Is there a face?,Hard to spot?_gt,Accident or design?_gt,Emotion?_gt,Person or creature?_gt,Gender?_gt,Amusing?_gt,Common?,Flags,num_boxes,train,split,image_path_gt,key,image_path_predfile,model,error,latency_ms,Hard to spot?_predfile,Accident or design?_predfile,Emotion?_predfile,Person or creature?_predfile,Gender?_predfile,Amusing?_predfile,_raw,image_path,Hard to spot?_gt_raw,Hard to spot?_pred_raw,Hard to spot?_gt_norm,Hard to spot?_pred_norm,Hard to spot?_is_valid,Hard to spot?_pred,Accident or design?_gt_raw,Accident or design?_pred_raw,Accident or design?_gt_norm,Accident or design?_pred_norm,Accident or design?_is_valid,Accident or design?_pred,Emotion?_gt_raw,Emotion?_pred_raw,Emotion?_gt_norm,Emotion?_pred_norm,Emotion?_is_valid,Emotion?_pred,Person or creature?_gt_raw,Person or creature?_pred_raw,Person or creature?_gt_norm,Person or creature?_pred_norm,Person or creature?_is_valid,Person or creature?_pred,Gender?_gt_raw,Gender?_pred_raw,Gender?_gt_norm,Gender?_pred_norm,Gender?_is_valid,Gender?_pred,Amusing?_gt_raw,Amusing?_pred_raw,Amusing?_gt_norm,Amusing?_pred_norm,Amusing?_is_valid,Amusing?_pred
000005736.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005736.jpg,"[[323.368, 112.753, 136.865, 255.291]]",[True],Yes,Easy,Design,Neutral,Human-Adult,Male,Somewhat,Uncommon,['Interesting'],1,False,0,000005736.jpg,000005736.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000005736.jpg,gemini-2.5-flash-lite,,1250.0,Medium,Accident,Neutral,Other,Neutral,Yes,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000005736.jpg,Easy,Medium,Easy,Medium,True,Medium,Design,Accident,Design,Accident,True,Accident,Neutral,Neutral,Neutral,Neutral,True,Neutral,Human-Adult,Other,Human-Adult,Other,True,Other,Male,Neutral,Male,Neutral,True,Neutral,Somewhat,Yes,Somewhat,Yes,True,Yes
000004308.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000004308.jpg,"[[90, 259, 125, 123], [121, 117, 101, 90], [309, 108, 101, 80], [293, 239, 120, 111]]","[False, False, False, True]",Several,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],4,True,3,000004308.jpg,000004308.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000004308.jpg,gemini-2.5-flash-lite,,977.0,Easy,Design,Happy,Cartoon,Neutral,Yes,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000004308.jpg,Easy,Easy,Easy,Easy,True,Easy,Design,Design,Design,Design,True,Design,Neutral,Happy,Neutral,Happy,True,Happy,Cartoon,Cartoon,Cartoon,Cartoon,True,Cartoon,Neutral,Neutral,Neutral,Neutral,True,Neutral,No,Yes,No,Yes,True,Yes
000015457.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000015457.jpg,"[[293, 234, 166, 117], [123, 330, 162, 114]]","[True, False]",Several,Easy,Design,Happy,Other,Neutral,No,Common,,2,True,2,000015457.jpg,000015457.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000015457.jpg,gemini-2.5-flash-lite,,2834.0,Easy,Design,Happy,Cartoon,Neutral,Yes,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000015457.jpg,Easy,Easy,Easy,Easy,True,Easy,Design,Design,Design,Design,True,Design,Happy,Happy,Happy,Happy,True,Happy,Other,Cartoon,Other,Cartoon,True,Cartoon,Neutral,Neutral,Neutral,Neutral,True,Neutral,No,Yes,No,Yes,True,Yes
000000575.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000000575.jpg,"[[133, 98, 227, 183]]",[True],Yes,Medium,Accident,Surprised,Robot,Neutral,No,Common,,1,True,3,000000575.jpg,000000575.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000000575.jpg,gemini-2.5-flash-lite,,1032.0,Easy,Design,Neutral,Other,Neutral,No,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000000575.jpg,Medium,Easy,Medium,Easy,True,Easy,Accident,Design,Accident,Design,True,Design,Surprised,Neutral,Surprised,Neutral,True,Neutral,Robot,Other,Robot,Other,True,Other,Neutral,Neutral,Neutral,Neutral,True,Neutral,No,No,No,No,True,No
000021730.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021730.jpg,"[[138, 66, 266, 186]]",[True],Yes,Medium,Accident,Neutral,Alien,Neutral,No,Uncommon,,1,True,2,000021730.jpg,000021730.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000021730.jpg,gemini-2.5-flash-lite,,1341.0,Easy,Accident,Neutral,Other,Neutral,No,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000021730.jpg,Medium,Easy,Medium,Easy,True,Easy,Accident,Accident,Accident,Accident,True,Accident,Neutral,Neutral,Neutral,Neutral,True,Neutral,Alien,Other,Alien,Other,True,Other,Neutral,Neutral,Neutral,Neutral,True,Neutral,No,No,No,No,True,No
000017095.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000017095.jpg,"[[212, 165, 75, 70]]",[True],Yes,Easy,Accident,Neutral,Other,Neutral,No,Common,['Interesting'],1,False,2,000017095.jpg,000017095.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000017095.jpg,gemini-2.5-flash-lite,,1382.0,Medium,Accident,Neutral,Other,Neutral,Somewhat,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000017095.jpg,Easy,Medium,Easy,Medium,True,Medium,Accident,Accident,Accident,Accident,True,Accident,Neutral,Neutral,Neutral,Neutral,True,Neutral,Other,Other,Other,Other,True,Other,Neutral,Neutral,Neutral,Neutral,True,Neutral,No,Somewhat,No,Somewhat,True,Somewhat
000006307.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006307.jpg,"[[146.083, 166.648, 188.632, 271.601]]",[True],Yes,Medium,Design,Neutral,Human-Old,Male,Somewhat,Uncommon,['Interesting'],1,False,0,000006307.jpg,000006307.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000006307.jpg,gemini-2.5-flash-lite,,1582.0,Easy,Design,Angry,Human-Old,Male,No,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000006307.jpg,Medium,Easy,Medium,Easy,True,Easy,Design,Design,Design,Design,True,Design,Neutral,Angry,Neutral,Angry,True,Angry,Human-Old,Human-Old,Human-Old,Human-Old,True,Human-Old,Male,Male,Male,Male,True,Male,Somewhat,No,Somewhat,No,True,No
000021518.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021518.jpg,"[[162, 212, 89, 81]]",[True],Yes,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],1,True,3,000021518.jpg,000021518.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000021518.jpg,gemini-2.5-flash-lite,,1110.0,Easy,Accident,Neutral,Other,Neutral,Yes,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000021518.jpg,Easy,Easy,Easy,Easy,True,Easy,Design,Accident,Design,Accident,True,Accident,Neutral,Neutral,Neutral,Neutral,True,Neutral,Cartoon,Other,Cartoon,Other,True,Other,Neutral,Neutral,Neutral,Neutral,True,Neutral,No,Yes,No,Yes,True,Yes
000007868.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007868.jpg,"[[254, 32, 258, 230], [14.183, 134.028, 250.327, 186.504]]","[False, True]",Yes,Easy,Design,Neutral,Alien,Neutral,No,,,2,True,2,000007868.jpg,000007868.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000007868.jpg,gemini-2.5-flash-lite,,1147.0,Easy,Design,Neutral,Animal,Neutral,Yes,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000007868.jpg,Easy,Easy,Easy,Easy,True,Easy,Design,Design,Design,Design,True,Design,Neutral,Neutral,Neutral,Neutral,True,Neutral,Alien,Animal,Alien,Animal,True,Animal,Neutral,Neutral,Neutral,Neutral,True,Neutral,No,Yes,No,Yes,True,Yes
000000102.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000000102.jpg,"[[126, 94, 349, 322]]",[True],Yes,Hard,Accident,Neutral,Alien,Neutral,No,Uncommon,,1,True,2,000000102.jpg,000000102.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000000102.jpg,gemini-2.5-flash-lite,,1467.0,Medium,Accident,Neutral,Other,Neutral,Somewhat,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000000102.jpg,Hard,Medium,Hard,Medium,True,Medium,Accident,Accident,Accident,Accident,True,Accident,Neutral,Neutral,Neutral,Neutral,True,Neutral,Alien,Other,Alien,Other,True,Other,Neutral,Neutral,Neutral,Neutral,True,Neutral,No,Somewhat,No,Somewhat,True,Somewhat
000007864.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007864.jpg,"[[285, 110, 221, 292], [7.091, 95.025, 229.053, 324.787]]","[False, True]",Yes,Easy,Accident,Sad,Animal,Neutral,Somewhat,Uncommon,['Interesting'],2,False,1,000007864.jpg,000007864.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000007864.jpg,gemini-2.5-flash-lite,,1232.0,Easy,Accident,Neutral,Animal,Neutral,Yes,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000007864.jpg,Easy,Easy,Easy,Easy,True,Easy,Accident,Accident,Accident,Accident,True,Accident,Sad,Neutral,Sad,Neutral,True,Neutral,Animal,Animal,Animal,Animal,True,Animal,Neutral,Neutral,Neutral,Neutral,True,Neutral,Somewhat,Yes,Somewhat,Yes,True,Yes
000005917.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005917.jpg,"[[126.936, 82.26, 194.305, 315.568]]",[True],Yes,Easy,Design,Neutral,Human-Adult,Male,Yes,Uncommon,['Interesting'],1,True,0,000005917.jpg,000005917.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000005917.jpg,gemini-2.5-flash-lite,,1657.0,Easy,Design,Neutral,Human-Adult,Neutral,Yes,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000005917.jpg,Easy,Easy,Easy,Easy,True,Easy,Design,Design,Design,Design,True,Design,Neutral,Neutral,Neutral,Neutral,True,Neutral,Human-Adult,Human-Adult,Human-Adult,Human-Adult,True,Human-Adult,Male,Neutral,Male,Neutral,True,Neutral,Yes,Yes,Yes,Yes,True,Yes
000003570.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000003570.jpg,"[[281, 163, 91, 138]]",[True],Yes,Easy,Accident,Neutral,Human-Adult,Female,No,Common,['Interesting'],1,True,3,000003570.jpg,000003570.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000003570.jpg,gemini-2.5-flash-lite,,1322.0,Hard,Accident,Neutral,Other,Neutral,No,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000003570.jpg,Easy,Hard,Easy,Hard,True,Hard,Accident,Accident,Accident,Accident,True,Accident,Neutral,Neutral,Neutral,Neutral,True,Neutral,Human-Adult,Other,Human-Adult,Other,True,Other,Female,Neutral,Female,Neutral,True,Neutral,No,No,No,No,True,No
000025618.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000025618.jpg,"[[62, 275, 325, 156]]",[True],Yes,Easy,Accident,Happy,Robot,Neutral,No,Somewhat,,1,False,0,000025618.jpg,000025618.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000025618.jpg,gemini-2.5-flash-lite,,1526.0,Easy,Accident,Neutral,Other,Neutral,No,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000025618.jpg,Easy,Easy,Easy,Easy,True,Easy,Accident,Accident,Accident,Accident,True,Accident,Happy,Neutral,Happy,Neutral,True,Neutral,Robot,Other,Robot,Other,True,Other,Neutral,Neutral,Neutral,Neutral,True,Neutral,No,No,No,No,True,No
000026944.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000026944.jpg,"[[271, 146, 169, 249]]",[True],Yes,Medium,Accident,Angry,Other,Neutral,No,Common,,1,False,2,000026944.jpg,000026944.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000026944.jpg,gemini-2.5-flash-lite,,1196.0,Easy,Design,Other,Animal,Neutral,Somewhat,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000026944.jpg,Medium,Easy,Medium,Easy,True,Easy,Accident,Design,Accident,Design,True,Design,Angry,Other,Angry,Other,True,Other,Other,Animal,Other,Animal,True,Animal,Neutral,Neutral,Neutral,Neutral,True,Neutral,No,Somewhat,No,Somewhat,True,Somewhat
000002615.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000002615.jpg,"[[34, 110, 270, 227]]",[True],Yes,Easy,Accident,Other,Other,Neutral,No,Common,['Interesting'],1,True,1,000002615.jpg,000002615.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000002615.jpg,gemini-2.5-flash-lite,non_json_response,1358.0,,,,,,,"```json
{
  ""Hard to spot?"": ""Medium"",
  ""Accident or design?"": ""Accident"",
  ""Emotion?"": ""Other"",
  ""Person or creature?"": ""Animal"",
  ""Gender?"": ""Neutral"",
  ""Amusing?"": ""Yes""
}
```",/Users/precioux/Desktop/Creativity/FacesInThings/images/000002615.jpg,Easy,,Easy,,False,,Accident,,Accident,,False,,Other,,Other,,False,,Other,,Other,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000018879.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000018879.jpg,"[[234, 202, 79, 131]]",[True],Yes,Medium,Accident,Surprised,Alien,Neutral,No,Uncommon,,1,True,3,000018879.jpg,000018879.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000018879.jpg,gemini-2.5-flash-lite,non_json_response,1007.0,,,,,,,"```json
{
  ""Hard to spot?"": ""Medium"",
  ""Accident or design?"": ""Accident"",
  ""Emotion?"": ""Neutral"",
  ""Person or creature?"": ""Other"",
  ""Gender?"": ""Neutral"",
  ""Amusing?"": ""Somewhat""
}
```",/Users/precioux/Desktop/Creativity/FacesInThings/images/000018879.jpg,Medium,,Medium,,False,,Accident,,Accident,,False,,Surprised,,Surprised,,False,,Alien,,Alien,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000024238.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000024238.jpg,"[[124, 165, 215, 219]]",[True],Yes,Hard,Accident,Neutral,Other,Neutral,No,Uncommon,,1,True,3,000024238.jpg,000024238.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000024238.jpg,gemini-2.5-flash-lite,,1348.0,Medium,Accident,Neutral,Animal,Neutral,Somewhat,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000024238.jpg,Hard,Medium,Hard,Medium,True,Medium,Accident,Accident,Accident,Accident,True,Accident,Neutral,Neutral,Neutral,Neutral,True,Neutral,Other,Animal,Other,Animal,True,Animal,Neutral,Neutral,Neutral,Neutral,True,Neutral,No,Somewhat,No,Somewhat,True,Somewhat
000002520.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000002520.jpg,"[[172, 171, 202, 162]]",[True],Yes,Easy,Design,Happy,Human-Young,Female,No,Common,,1,True,2,000002520.jpg,000002520.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000002520.jpg,gemini-2.5-flash-lite,,1066.0,Easy,Design,Other,Cartoon,Neutral,Yes,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000002520.jpg,Easy,Easy,Easy,Easy,True,Easy,Design,Design,Design,Design,True,Design,Happy,Other,Happy,Other,True,Other,Human-Young,Cartoon,Human-Young,Cartoon,True,Cartoon,Female,Neutral,Female,Neutral,True,Neutral,No,Yes,No,Yes,True,Yes
000007550.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007550.jpg,"[[42.548, 207.069, 307.059, 163.103]]",[True],Yes,Medium,Accident,Happy,Robot,Neutral,Somewhat,Uncommon,['Interesting'],1,True,2,000007550.jpg,000007550.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000007550.jpg,gemini-2.5-flash-lite,,1253.0,Easy,Accident,Happy,Other,Neutral,Yes,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000007550.jpg,Medium,Easy,Medium,Easy,True,Easy,Accident,Accident,Accident,Accident,True,Accident,Happy,Happy,Happy,Happy,True,Happy,Robot,Other,Robot,Other,True,Other,Neutral,Neutral,Neutral,Neutral,True,Neutral,Somewhat,Yes,Somewhat,Yes,True,Yes
000006604.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006604.jpg,"[[197.141, 131.9, 151.757, 99.28]]",[True],Yes,Easy,Design,Happy,Animal,Female,Yes,Somewhat,['Interesting'],1,True,0,000006604.jpg,000006604.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000006604.jpg,gemini-2.5-flash-lite,,894.0,Easy,Design,Neutral,Animal,Neutral,Yes,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000006604.jpg,Easy,Easy,Easy,Easy,True,Easy,Design,Design,Design,Design,True,Design,Happy,Neutral,Happy,Neutral,True,Neutral,Animal,Animal,Animal,Animal,True,Animal,Female,Neutral,Female,Neutral,True,Neutral,Yes,Yes,Yes,Yes,True,Yes
000023760.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000023760.jpg,"[[71, 9, 342, 455]]",[True],Yes,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],1,False,1,000023760.jpg,000023760.jpg,/Users/precioux/Desktop/Creativity/FacesInThings/images/000023760.jpg,gemini-2.5-flash-lite,,1180.0,Easy,Design,Neutral,Other,Neutral,Yes,,/Users/precioux/Desktop/Creativity/FacesInThings/images/000023760.jpg,Easy,Easy,Easy,Easy,True,Easy,Design,Design,Design,Design,True,Design,Neutral,Neutral,Neutral,Neutral,True,Neutral,Cartoon,Other,Cartoon,Other,True,Other,Neutral,Neutral,Neutral,Neutral,True,Neutral,No,Yes,No,Yes,True,Yes
