file,url,boxes,is_primary,Is there a face?,Hard to spot?_gt,Accident or design?_gt,Emotion?_gt,Person or creature?_gt,Gender?_gt,Amusing?_gt,Common?,Flags,num_boxes,train,split,image_path_gt,key,image_path_predfile,model,latency_ms,error,_raw,Hard to spot?_predfile,Accident or design?_predfile,Emotion?_predfile,Person or creature?_predfile,Gender?_predfile,Amusing?_predfile,image_path,Hard to spot?_gt_raw,Hard to spot?_pred_raw,Hard to spot?_gt_norm,Hard to spot?_pred_norm,Hard to spot?_is_valid,Hard to spot?_pred,Accident or design?_gt_raw,Accident or design?_pred_raw,Accident or design?_gt_norm,Accident or design?_pred_norm,Accident or design?_is_valid,Accident or design?_pred,Emotion?_gt_raw,Emotion?_pred_raw,Emotion?_gt_norm,Emotion?_pred_norm,Emotion?_is_valid,Emotion?_pred,Person or creature?_gt_raw,Person or creature?_pred_raw,Person or creature?_gt_norm,Person or creature?_pred_norm,Person or creature?_is_valid,Person or creature?_pred,Gender?_gt_raw,Gender?_pred_raw,Gender?_gt_norm,Gender?_pred_norm,Gender?_is_valid,Gender?_pred,Amusing?_gt_raw,Amusing?_pred_raw,Amusing?_gt_norm,Amusing?_pred_norm,Amusing?_is_valid,Amusing?_pred
000005736.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005736.jpg,"[[323.368, 112.753, 136.865, 255.291]]",[True],Yes,Easy,Design,Neutral,Human-Adult,Male,Somewhat,Uncommon,['Interesting'],1,False,0,000005736.jpg,000005736.jpg,,,,,,,,,,,,000005736.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Neutral,,Neutral,,False,,Human-Adult,,Human-Adult,,False,,Male,,Male,,False,,Somewhat,,Somewhat,,False,
000004308.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000004308.jpg,"[[90, 259, 125, 123], [121, 117, 101, 90], [309, 108, 101, 80], [293, 239, 120, 111]]","[False, False, False, True]",Several,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],4,True,3,000004308.jpg,000004308.jpg,,,,,,,,,,,,000004308.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Neutral,,Neutral,,False,,Cartoon,,Cartoon,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000015457.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000015457.jpg,"[[293, 234, 166, 117], [123, 330, 162, 114]]","[True, False]",Several,Easy,Design,Happy,Other,Neutral,No,Common,,2,True,2,000015457.jpg,000015457.jpg,,,,,,,,,,,,000015457.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Happy,,Happy,,False,,Other,,Other,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000000575.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000000575.jpg,"[[133, 98, 227, 183]]",[True],Yes,Medium,Accident,Surprised,Robot,Neutral,No,Common,,1,True,3,000000575.jpg,000000575.jpg,/mnt/mahdipou/test/FacesInThings/images/000000575.jpg,qwen2.5vl,35871.0,no_face,no face,,,,,,,/mnt/mahdipou/test/FacesInThings/images/000000575.jpg,Medium,,Medium,,False,,Accident,,Accident,,False,,Surprised,,Surprised,,False,,Robot,,Robot,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000021730.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021730.jpg,"[[138, 66, 266, 186]]",[True],Yes,Medium,Accident,Neutral,Alien,Neutral,No,Uncommon,,1,True,2,000021730.jpg,000021730.jpg,,,,,,,,,,,,000021730.jpg,Medium,,Medium,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Alien,,Alien,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000017095.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000017095.jpg,"[[212, 165, 75, 70]]",[True],Yes,Easy,Accident,Neutral,Other,Neutral,No,Common,['Interesting'],1,False,2,000017095.jpg,000017095.jpg,,,,,,,,,,,,000017095.jpg,Easy,,Easy,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Other,,Other,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000006307.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006307.jpg,"[[146.083, 166.648, 188.632, 271.601]]",[True],Yes,Medium,Design,Neutral,Human-Old,Male,Somewhat,Uncommon,['Interesting'],1,False,0,000006307.jpg,000006307.jpg,,,,,,,,,,,,000006307.jpg,Medium,,Medium,,False,,Design,,Design,,False,,Neutral,,Neutral,,False,,Human-Old,,Human-Old,,False,,Male,,Male,,False,,Somewhat,,Somewhat,,False,
000021518.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021518.jpg,"[[162, 212, 89, 81]]",[True],Yes,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],1,True,3,000021518.jpg,000021518.jpg,,,,,,,,,,,,000021518.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Neutral,,Neutral,,False,,Cartoon,,Cartoon,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000007868.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007868.jpg,"[[254, 32, 258, 230], [14.183, 134.028, 250.327, 186.504]]","[False, True]",Yes,Easy,Design,Neutral,Alien,Neutral,No,,,2,True,2,000007868.jpg,000007868.jpg,,,,,,,,,,,,000007868.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Neutral,,Neutral,,False,,Alien,,Alien,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000000102.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000000102.jpg,"[[126, 94, 349, 322]]",[True],Yes,Hard,Accident,Neutral,Alien,Neutral,No,Uncommon,,1,True,2,000000102.jpg,000000102.jpg,/mnt/mahdipou/test/FacesInThings/images/000000102.jpg,qwen2.5vl,28056.0,no_face,no face,,,,,,,/mnt/mahdipou/test/FacesInThings/images/000000102.jpg,Hard,,Hard,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Alien,,Alien,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000007864.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007864.jpg,"[[285, 110, 221, 292], [7.091, 95.025, 229.053, 324.787]]","[False, True]",Yes,Easy,Accident,Sad,Animal,Neutral,Somewhat,Uncommon,['Interesting'],2,False,1,000007864.jpg,000007864.jpg,,,,,,,,,,,,000007864.jpg,Easy,,Easy,,False,,Accident,,Accident,,False,,Sad,,Sad,,False,,Animal,,Animal,,False,,Neutral,,Neutral,,False,,Somewhat,,Somewhat,,False,
000005917.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005917.jpg,"[[126.936, 82.26, 194.305, 315.568]]",[True],Yes,Easy,Design,Neutral,Human-Adult,Male,Yes,Uncommon,['Interesting'],1,True,0,000005917.jpg,000005917.jpg,,,,,,,,,,,,000005917.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Neutral,,Neutral,,False,,Human-Adult,,Human-Adult,,False,,Male,,Male,,False,,Yes,,Yes,,False,
000003570.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000003570.jpg,"[[281, 163, 91, 138]]",[True],Yes,Easy,Accident,Neutral,Human-Adult,Female,No,Common,['Interesting'],1,True,3,000003570.jpg,000003570.jpg,,,,,,,,,,,,000003570.jpg,Easy,,Easy,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Human-Adult,,Human-Adult,,False,,Female,,Female,,False,,No,,No,,False,
000025618.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000025618.jpg,"[[62, 275, 325, 156]]",[True],Yes,Easy,Accident,Happy,Robot,Neutral,No,Somewhat,,1,False,0,000025618.jpg,000025618.jpg,,,,,,,,,,,,000025618.jpg,Easy,,Easy,,False,,Accident,,Accident,,False,,Happy,,Happy,,False,,Robot,,Robot,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000026944.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000026944.jpg,"[[271, 146, 169, 249]]",[True],Yes,Medium,Accident,Angry,Other,Neutral,No,Common,,1,False,2,000026944.jpg,000026944.jpg,,,,,,,,,,,,000026944.jpg,Medium,,Medium,,False,,Accident,,Accident,,False,,Angry,,Angry,,False,,Other,,Other,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000002615.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000002615.jpg,"[[34, 110, 270, 227]]",[True],Yes,Easy,Accident,Other,Other,Neutral,No,Common,['Interesting'],1,True,1,000002615.jpg,000002615.jpg,,,,,,,,,,,,000002615.jpg,Easy,,Easy,,False,,Accident,,Accident,,False,,Other,,Other,,False,,Other,,Other,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000018879.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000018879.jpg,"[[234, 202, 79, 131]]",[True],Yes,Medium,Accident,Surprised,Alien,Neutral,No,Uncommon,,1,True,3,000018879.jpg,000018879.jpg,,,,,,,,,,,,000018879.jpg,Medium,,Medium,,False,,Accident,,Accident,,False,,Surprised,,Surprised,,False,,Alien,,Alien,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000024238.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000024238.jpg,"[[124, 165, 215, 219]]",[True],Yes,Hard,Accident,Neutral,Other,Neutral,No,Uncommon,,1,True,3,000024238.jpg,000024238.jpg,,,,,,,,,,,,000024238.jpg,Hard,,Hard,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Other,,Other,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000002520.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000002520.jpg,"[[172, 171, 202, 162]]",[True],Yes,Easy,Design,Happy,Human-Young,Female,No,Common,,1,True,2,000002520.jpg,000002520.jpg,,,,,,,,,,,,000002520.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Happy,,Happy,,False,,Human-Young,,Human-Young,,False,,Female,,Female,,False,,No,,No,,False,
000007550.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007550.jpg,"[[42.548, 207.069, 307.059, 163.103]]",[True],Yes,Medium,Accident,Happy,Robot,Neutral,Somewhat,Uncommon,['Interesting'],1,True,2,000007550.jpg,000007550.jpg,,,,,,,,,,,,000007550.jpg,Medium,,Medium,,False,,Accident,,Accident,,False,,Happy,,Happy,,False,,Robot,,Robot,,False,,Neutral,,Neutral,,False,,Somewhat,,Somewhat,,False,
000006604.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006604.jpg,"[[197.141, 131.9, 151.757, 99.28]]",[True],Yes,Easy,Design,Happy,Animal,Female,Yes,Somewhat,['Interesting'],1,True,0,000006604.jpg,000006604.jpg,,,,,,,,,,,,000006604.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Happy,,Happy,,False,,Animal,,Animal,,False,,Female,,Female,,False,,Yes,,Yes,,False,
000023760.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000023760.jpg,"[[71, 9, 342, 455]]",[True],Yes,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],1,False,1,000023760.jpg,000023760.jpg,,,,,,,,,,,,000023760.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Neutral,,Neutral,,False,,Cartoon,,Cartoon,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000022526.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000022526.jpg,"[[224, 191, 105, 146]]",[True],Yes,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],1,True,0,000022526.jpg,000022526.jpg,,,,,,,,,,,,000022526.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Neutral,,Neutral,,False,,Cartoon,,Cartoon,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000006014.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006014.jpg,"[[187.922, 153.884, 73.751, 94.315]]",[True],Yes,Easy,Accident,Sad,Human-Adult,Neutral,Somewhat,Uncommon,['Interesting'],1,True,2,000006014.jpg,000006014.jpg,,,,,,,,,,,,000006014.jpg,Easy,,Easy,,False,,Accident,,Accident,,False,,Sad,,Sad,,False,,Human-Adult,,Human-Adult,,False,,Neutral,,Neutral,,False,,Somewhat,,Somewhat,,False,
000014465.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000014465.jpg,"[[259, 160, 210, 296]]",[True],Yes,Easy,Design,Neutral,Cartoon,Neutral,No,Common,['Interesting'],1,True,0,000014465.jpg,000014465.jpg,,,,,,,,,,,,000014465.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Neutral,,Neutral,,False,,Cartoon,,Cartoon,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000024917.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000024917.jpg,"[[211, 207, 126, 84]]",[True],Yes,Medium,Accident,Surprised,Alien,Neutral,No,Somewhat,,1,True,1,000024917.jpg,000024917.jpg,,,,,,,,,,,,000024917.jpg,Medium,,Medium,,False,,Accident,,Accident,,False,,Surprised,,Surprised,,False,,Alien,,Alien,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000006605.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006605.jpg,"[[341, 221, 27, 24]]",[True],Yes,Hard,Accident,Neutral,Animal,Neutral,No,Common,,1,True,2,000006605.jpg,000006605.jpg,,,,,,,,,,,,000006605.jpg,Hard,,Hard,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Animal,,Animal,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000027359.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000027359.jpg,"[[107, 114, 253, 293]]",[True],Yes,Easy,Accident,Happy,Other,Neutral,Yes,Somewhat,,1,False,3,000027359.jpg,000027359.jpg,,,,,,,,,,,,000027359.jpg,Easy,,Easy,,False,,Accident,,Accident,,False,,Happy,,Happy,,False,,Other,,Other,,False,,Neutral,,Neutral,,False,,Yes,,Yes,,False,
000024110.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000024110.jpg,"[[67, 72, 318, 287]]",[True],Yes,Easy,Design,Happy,Other,Neutral,No,Common,,1,True,0,000024110.jpg,000024110.jpg,,,,,,,,,,,,000024110.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Happy,,Happy,,False,,Other,,Other,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000018968.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000018968.jpg,"[[198, 187, 174, 230]]",[True],Yes,Easy,Accident,Neutral,Human-Adult,Male,No,Common,['Interesting'],1,True,2,000018968.jpg,000018968.jpg,,,,,,,,,,,,000018968.jpg,Easy,,Easy,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Human-Adult,,Human-Adult,,False,,Male,,Male,,False,,No,,No,,False,
000013231.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000013231.jpg,"[[258, 135, 133, 248]]",[True],Yes,Easy,Design,Surprised,Human-Adult,Male,No,Somewhat,,1,False,1,000013231.jpg,000013231.jpg,,,,,,,,,,,,000013231.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Surprised,,Surprised,,False,,Human-Adult,,Human-Adult,,False,,Male,,Male,,False,,No,,No,,False,
000015140.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000015140.jpg,"[[62, 99, 123, 81]]",[True],Yes,Medium,Accident,Neutral,Other,Neutral,No,Uncommon,,1,True,0,000015140.jpg,000015140.jpg,,,,,,,,,,,,000015140.jpg,Medium,,Medium,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Other,,Other,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000010829.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000010829.jpg,"[[195, 142, 186, 228]]",[True],Yes,Hard,Accident,Sad,Alien,Neutral,No,Uncommon,,1,True,2,000010829.jpg,000010829.jpg,,,,,,,,,,,,000010829.jpg,Hard,,Hard,,False,,Accident,,Accident,,False,,Sad,,Sad,,False,,Alien,,Alien,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000007486.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007486.jpg,"[[215, 26, 107, 137], [193.596, 252.454, 168.066, 199.978]]","[False, True]",Yes,Easy,Design,Happy,Human-Young,Neutral,Somewhat,Uncommon,['Interesting'],2,True,3,000007486.jpg,000007486.jpg,,,,,,,,,,,,000007486.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Happy,,Happy,,False,,Human-Young,,Human-Young,,False,,Neutral,,Neutral,,False,,Somewhat,,Somewhat,,False,
000027945.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000027945.jpg,"[[187, 88, 174, 289]]",[True],Yes,Medium,Accident,Neutral,Robot,Neutral,No,Common,,1,True,3,000027945.jpg,000027945.jpg,,,,,,,,,,,,000027945.jpg,Medium,,Medium,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Robot,,Robot,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000000350.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000000350.jpg,"[[95, 212, 344, 184]]",[True],Yes,Easy,Accident,Happy,Robot,Neutral,Somewhat,Somewhat,,1,True,3,000000350.jpg,000000350.jpg,/mnt/mahdipou/test/FacesInThings/images/000000350.jpg,qwen2.5vl,32095.0,no_face,no face,,,,,,,/mnt/mahdipou/test/FacesInThings/images/000000350.jpg,Easy,,Easy,,False,,Accident,,Accident,,False,,Happy,,Happy,,False,,Robot,,Robot,,False,,Neutral,,Neutral,,False,,Somewhat,,Somewhat,,False,
000006512.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006512.jpg,"[[162.393, 155.302, 180.831, 229.053]]",[True],Yes,Medium,Accident,Happy,Human-Adult,Male,Somewhat,Uncommon,['Interesting'],1,False,1,000006512.jpg,000006512.jpg,,,,,,,,,,,,000006512.jpg,Medium,,Medium,,False,,Accident,,Accident,,False,,Happy,,Happy,,False,,Human-Adult,,Human-Adult,,False,,Male,,Male,,False,,Somewhat,,Somewhat,,False,
000012705.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000012705.jpg,"[[61, 186, 185, 177]]",[True],Yes,Hard,Accident,Angry,Alien,Neutral,No,Uncommon,,1,True,0,000012705.jpg,000012705.jpg,,,,,,,,,,,,000012705.jpg,Hard,,Hard,,False,,Accident,,Accident,,False,,Angry,,Angry,,False,,Alien,,Alien,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000026560.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000026560.jpg,"[[209, 154, 111, 82]]",[True],Yes,Hard,Accident,Neutral,Alien,Neutral,No,Uncommon,,1,False,0,000026560.jpg,000026560.jpg,,,,,,,,,,,,000026560.jpg,Hard,,Hard,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Alien,,Alien,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000001290.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000001290.jpg,"[[238, 216, 62, 52]]",[True],Yes,Easy,Design,Happy,Human-Young,Neutral,No,Common,,1,True,3,000001290.jpg,000001290.jpg,,,,,,,,,,,,000001290.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Happy,,Happy,,False,,Human-Young,,Human-Young,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000004766.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000004766.jpg,"[[132, 51, 99, 88], [112, 210, 144, 106], [274, 174, 121, 133]]","[True, False, False]",Several,Easy,Design,Surprised,Cartoon,Neutral,No,Common,,3,False,3,000004766.jpg,000004766.jpg,,,,,,,,,,,,000004766.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Surprised,,Surprised,,False,,Cartoon,,Cartoon,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000011770.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000011770.jpg,"[[119, 251, 44, 62]]",[True],Yes,Easy,Accident,Neutral,Human-Adult,Male,No,Common,['Interesting'],1,True,1,000011770.jpg,000011770.jpg,,,,,,,,,,,,000011770.jpg,Easy,,Easy,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Human-Adult,,Human-Adult,,False,,Male,,Male,,False,,No,,No,,False,
000020006.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000020006.jpg,"[[166, 170, 215, 133]]",[True],Yes,Easy,Accident,Neutral,Human-Old,Neutral,No,Common,['Interesting'],1,False,0,000020006.jpg,000020006.jpg,,,,,,,,,,,,000020006.jpg,Easy,,Easy,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Human-Old,,Human-Old,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000018753.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000018753.jpg,"[[123, 103, 318, 314]]",[True],Yes,Easy,Design,Happy,Other,Neutral,No,Common,,1,False,3,000018753.jpg,000018753.jpg,,,,,,,,,,,,000018753.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Happy,,Happy,,False,,Other,,Other,,False,,Neutral,,Neutral,,False,,No,,No,,False,
