attribute,_image_file,pred_raw,gt_raw,pred_norm,gt_norm
Hard to spot?,000000365.jpg,Medium,Easy,medium,easy
Hard to spot?,000000414.jpg,Easy,Medium,easy,medium
Hard to spot?,000000429.jpg,Medium,Easy,medium,easy
Hard to spot?,000000430.jpg,Medium,Easy,medium,easy
Hard to spot?,000000445.jpg,Medium,Easy,medium,easy
Hard to spot?,000000477.jpg,Medium,Easy,medium,easy
Hard to spot?,000000492.jpg,Medium,Easy,medium,easy
Hard to spot?,000000497.jpg,Medium,Easy,medium,easy
Hard to spot?,000000501.jpg,Medium,Hard,medium,hard
Hard to spot?,000000532.jpg,Medium,Easy,medium,easy
Hard to spot?,000000549.jpg,Medium,Easy,medium,easy
Hard to spot?,000000552.jpg,Medium,Easy,medium,easy
Hard to spot?,000000577.jpg,Medium,Easy,medium,easy
Hard to spot?,000000648.jpg,Medium,Easy,medium,easy
Hard to spot?,000000654.jpg,Medium,Hard,medium,hard
Hard to spot?,000000660.jpg,Medium,Easy,medium,easy
Hard to spot?,000000676.jpg,Medium,Easy,medium,easy
Hard to spot?,000000679.jpg,Medium,Easy,medium,easy
Hard to spot?,000000682.jpg,Medium,Easy,medium,easy
Hard to spot?,000000693.jpg,Medium,Easy,medium,easy
Hard to spot?,000000702.jpg,Medium,Easy,medium,easy
Hard to spot?,000000706.jpg,Medium,,medium,nan
Hard to spot?,000000717.jpg,Medium,Easy,medium,easy
Hard to spot?,000000718.jpg,Medium,Easy,medium,easy
Hard to spot?,000000724.jpg,Medium,Easy,medium,easy
Hard to spot?,000000725.jpg,Medium,Easy,medium,easy
Hard to spot?,000000732.jpg,Medium,Easy,medium,easy
Hard to spot?,000000733.jpg,Medium,Hard,medium,hard
Hard to spot?,000000752.jpg,Medium,Easy,medium,easy
Hard to spot?,000000754.jpg,Medium,Easy,medium,easy
Hard to spot?,000000773.jpg,Medium,Hard,medium,hard
Hard to spot?,000000802.jpg,Medium,Easy,medium,easy
Hard to spot?,000000804.jpg,Medium,Easy,medium,easy
Hard to spot?,000000808.jpg,Medium,Easy,medium,easy
Hard to spot?,000000809.jpg,Medium,Hard,medium,hard
Hard to spot?,000000810.jpg,Medium,Hard,medium,hard
Hard to spot?,000000811.jpg,Medium,Hard,medium,hard
Hard to spot?,000000825.jpg,Medium,Easy,medium,easy
Hard to spot?,000000836.jpg,Medium,Hard,medium,hard
Hard to spot?,000000856.jpg,Medium,Easy,medium,easy
Hard to spot?,000000859.jpg,Medium,Easy,medium,easy
Hard to spot?,000000875.jpg,Medium,Easy,medium,easy
Hard to spot?,000000877.jpg,Medium,Hard,medium,hard
Hard to spot?,000000886.jpg,Medium,Easy,medium,easy
Hard to spot?,000000936.jpg,Medium,Hard,medium,hard
Hard to spot?,000000961.jpg,Medium,Easy,medium,easy
Hard to spot?,000000966.jpg,Medium,Easy,medium,easy
Hard to spot?,000000977.jpg,Medium,Easy,medium,easy
Hard to spot?,000000986.jpg,Medium,Easy,medium,easy
Hard to spot?,000000990.jpg,Medium,Easy,medium,easy
Hard to spot?,000001002.jpg,Medium,Hard,medium,hard
Hard to spot?,000001005.jpg,Medium,Hard,medium,hard
Hard to spot?,000001008.jpg,Medium,Easy,medium,easy
Hard to spot?,000001011.jpg,Medium,Hard,medium,hard
Hard to spot?,000001013.jpg,Medium,Easy,medium,easy
Hard to spot?,000001015.jpg,Medium,Easy,medium,easy
Hard to spot?,000001018.jpg,Medium,Easy,medium,easy
Hard to spot?,000001019.jpg,Medium,Easy,medium,easy
Hard to spot?,000001025.jpg,Medium,Easy,medium,easy
Hard to spot?,000001029.jpg,Medium,Easy,medium,easy
Hard to spot?,000001030.jpg,Medium,Easy,medium,easy
Hard to spot?,000001037.jpg,Medium,Easy,medium,easy
Hard to spot?,000001051.jpg,Medium,Easy,medium,easy
Hard to spot?,000001052.jpg,Medium,Easy,medium,easy
Hard to spot?,000001057.jpg,Medium,Easy,medium,easy
Hard to spot?,000001062.jpg,Medium,Easy,medium,easy
Hard to spot?,000001105.jpg,Medium,Easy,medium,easy
Hard to spot?,000001107.jpg,Medium,Easy,medium,easy
Hard to spot?,000001116.jpg,Medium,Easy,medium,easy
Hard to spot?,000001119.jpg,Medium,Easy,medium,easy
Hard to spot?,000001137.jpg,Medium,Easy,medium,easy
Hard to spot?,000001141.jpg,Medium,Easy,medium,easy
Hard to spot?,000001143.jpg,Medium,Easy,medium,easy
Hard to spot?,000001144.jpg,Medium,Easy,medium,easy
Hard to spot?,000001153.jpg,Medium,Easy,medium,easy
Hard to spot?,000001170.jpg,Medium,Hard,medium,hard
Hard to spot?,000001182.jpg,Medium,Easy,medium,easy
Hard to spot?,000001190.jpg,Medium,Hard,medium,hard
Hard to spot?,000001194.jpg,Medium,Easy,medium,easy
Hard to spot?,000001201.jpg,Medium,Easy,medium,easy
Hard to spot?,000001222.jpg,Medium,Easy,medium,easy
Hard to spot?,000001233.jpg,Medium,Hard,medium,hard
Hard to spot?,000001258.jpg,Medium,Easy,medium,easy
Hard to spot?,000001262.jpg,Medium,Easy,medium,easy
Hard to spot?,000001263.jpg,Medium,Easy,medium,easy
Hard to spot?,000001271.jpg,Medium,Easy,medium,easy
Hard to spot?,000001275.jpg,Medium,Easy,medium,easy
Hard to spot?,000001284.jpg,Medium,Easy,medium,easy
Hard to spot?,000001289.jpg,Medium,Hard,medium,hard
Hard to spot?,000001290.jpg,Medium,Easy,medium,easy
Hard to spot?,000001323.jpg,Medium,Easy,medium,easy
Hard to spot?,000001330.jpg,Medium,Hard,medium,hard
Hard to spot?,000001331.jpg,Medium,Easy,medium,easy
Hard to spot?,000001343.jpg,Medium,Easy,medium,easy
Hard to spot?,000001417.jpg,Medium,Hard,medium,hard
Hard to spot?,000001418.jpg,Medium,Easy,medium,easy
Hard to spot?,000001426.jpg,Medium,Easy,medium,easy
Hard to spot?,000001439.jpg,Medium,Easy,medium,easy
Hard to spot?,000001442.jpg,Medium,Easy,medium,easy
Hard to spot?,000001454.jpg,Medium,Easy,medium,easy
Hard to spot?,000001456.jpg,Medium,Hard,medium,hard
Hard to spot?,000001463.jpg,Medium,Easy,medium,easy
Hard to spot?,000001469.jpg,Medium,Easy,medium,easy
Hard to spot?,000001473.jpg,Medium,Easy,medium,easy
Hard to spot?,000001474.jpg,Medium,Easy,medium,easy
Hard to spot?,000001484.jpg,Medium,Easy,medium,easy
Hard to spot?,000001486.jpg,Medium,Hard,medium,hard
Hard to spot?,000001489.jpg,Medium,Hard,medium,hard
Hard to spot?,000001499.jpg,Medium,Hard,medium,hard
Hard to spot?,000001522.jpg,Medium,Easy,medium,easy
Hard to spot?,000001542.jpg,Medium,Easy,medium,easy
Hard to spot?,000001546.jpg,Medium,Easy,medium,easy
Hard to spot?,000001560.jpg,Medium,Easy,medium,easy
Hard to spot?,000001561.jpg,Medium,Hard,medium,hard
Hard to spot?,000001563.jpg,Easy,Medium,easy,medium
Hard to spot?,000001568.jpg,Medium,Hard,medium,hard
Hard to spot?,000001579.jpg,Medium,Easy,medium,easy
Hard to spot?,000001595.jpg,Medium,Easy,medium,easy
Hard to spot?,000001624.jpg,Medium,Hard,medium,hard
Hard to spot?,000001640.jpg,Medium,Easy,medium,easy
Hard to spot?,000001641.jpg,Medium,Easy,medium,easy
Hard to spot?,000001650.jpg,Medium,Easy,medium,easy
Hard to spot?,000001674.jpg,Medium,Easy,medium,easy
Hard to spot?,000001745.jpg,Medium,Easy,medium,easy
Hard to spot?,000001783.jpg,Medium,Easy,medium,easy
Hard to spot?,000001822.jpg,Medium,Easy,medium,easy
Hard to spot?,000001827.jpg,Medium,Easy,medium,easy
Hard to spot?,000001831.jpg,Medium,Easy,medium,easy
Hard to spot?,000001842.jpg,Medium,Hard,medium,hard
Hard to spot?,000001848.jpg,Medium,,medium,nan
Hard to spot?,000001858.jpg,Medium,Hard,medium,hard
Hard to spot?,000001863.jpg,Medium,Easy,medium,easy
Hard to spot?,000001869.jpg,Medium,Easy,medium,easy
Hard to spot?,000001898.jpg,Medium,Easy,medium,easy
Hard to spot?,000001901.jpg,Medium,Easy,medium,easy
Hard to spot?,000001935.jpg,Medium,Easy,medium,easy
Hard to spot?,000001940.jpg,Medium,Easy,medium,easy
Hard to spot?,000001944.jpg,Medium,Easy,medium,easy
Hard to spot?,000001975.jpg,Medium,Easy,medium,easy
Hard to spot?,000001978.jpg,Medium,Easy,medium,easy
Hard to spot?,000001984.jpg,Medium,Easy,medium,easy
Hard to spot?,000001992.jpg,Medium,Hard,medium,hard
Hard to spot?,000001993.jpg,Medium,Easy,medium,easy
Hard to spot?,000002000.jpg,Medium,Easy,medium,easy
Hard to spot?,000002013.jpg,Medium,Hard,medium,hard
Hard to spot?,000002016.jpg,Medium,Easy,medium,easy
Hard to spot?,000002045.jpg,Medium,Easy,medium,easy
Hard to spot?,000002054.jpg,Medium,Easy,medium,easy
Hard to spot?,000002081.jpg,Medium,Hard,medium,hard
Hard to spot?,000002093.jpg,Medium,Easy,medium,easy
Hard to spot?,000002153.jpg,Medium,Hard,medium,hard
Hard to spot?,000002156.jpg,Medium,Easy,medium,easy
Hard to spot?,000002160.jpg,Medium,Hard,medium,hard
Hard to spot?,000002162.jpg,Medium,Easy,medium,easy
Hard to spot?,000002190.jpg,Medium,Easy,medium,easy
Hard to spot?,000002203.jpg,Medium,Easy,medium,easy
Hard to spot?,000002210.jpg,Medium,Easy,medium,easy
Hard to spot?,000002211.jpg,Medium,Easy,medium,easy
Hard to spot?,000002222.jpg,Medium,Easy,medium,easy
Hard to spot?,000002224.jpg,Medium,Hard,medium,hard
Hard to spot?,000002225.jpg,Medium,Easy,medium,easy
Hard to spot?,000002226.jpg,Medium,Easy,medium,easy
