image_path,model,error,latency_ms,Hard to spot?_x,Accident or design?_x,Emotion?_x,Person or creature?_x,Gender?_x,Amusing?_x,pred_Hard to spot?_norm,pred_Accident or design?_norm,pred_Emotion?_norm,pred_Person or creature?_norm,pred_Gender?_norm,pred_Amusing?_norm,Hard to spot?_y,Accident or design?_y,Emotion?_y,Person or creature?_y,Gender?_y,Amusing?_y,gt_Hard to spot?_norm,gt_Accident or design?_norm,gt_Emotion?_norm,gt_Person or creature?_norm,gt_Gender?_norm,gt_Amusing?_norm,answered_any
000002615.jpg,gemini,,,,,,,,,,,,,,,Easy,Accident,Other,Other,Neutral,No,Easy,Accident,Other,Other,Neutral,No,False
000018879.jpg,gemma,,,,,,,,,,,,,,,Medium,Accident,Surprised,Alien,Neutral,No,Medium,Accident,Surprised,Alien,Neutral,No,False
000018879.jpg,qwen,,,,,,,,,,,,,,,Medium,Accident,Surprised,Alien,Neutral,No,Medium,Accident,Surprised,Alien,Neutral,No,False
000018879.jpg,gemini,,,,,,,,,,,,,,,Medium,Accident,Surprised,Alien,Neutral,No,Medium,Accident,Surprised,Alien,Neutral,No,False
000024238.jpg,gemma,,,,,,,,,,,,,,,Hard,Accident,Neutral,Other,Neutral,No,Hard,Accident,Neutral,Other,Neutral,No,False
000024238.jpg,qwen,,,,,,,,,,,,,,,Hard,Accident,Neutral,Other,Neutral,No,Hard,Accident,Neutral,Other,Neutral,No,False
000024238.jpg,gemini,,,,,,,,,,,,,,,Hard,Accident,Neutral,Other,Neutral,No,Hard,Accident,Neutral,Other,Neutral,No,False
000002520.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Happy,Human-Young,Female,No,Easy,Design,Happy,Human-Young,Female,No,False
000002520.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Happy,Human-Young,Female,No,Easy,Design,Happy,Human-Young,Female,No,False
000002520.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Happy,Human-Young,Female,No,Easy,Design,Happy,Human-Young,Female,No,False
000007550.jpg,gemma,,,,,,,,,,,,,,,Medium,Accident,Happy,Robot,Neutral,Somewhat,Medium,Accident,Happy,Robot,Neutral,Somewhat,False
000007550.jpg,qwen,,,,,,,,,,,,,,,Medium,Accident,Happy,Robot,Neutral,Somewhat,Medium,Accident,Happy,Robot,Neutral,Somewhat,False
000007550.jpg,gemini,,,,,,,,,,,,,,,Medium,Accident,Happy,Robot,Neutral,Somewhat,Medium,Accident,Happy,Robot,Neutral,Somewhat,False
000006604.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Happy,Animal,Female,Yes,Easy,Design,Happy,Animal,Female,Yes,False
000006604.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Happy,Animal,Female,Yes,Easy,Design,Happy,Animal,Female,Yes,False
000006604.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Happy,Animal,Female,Yes,Easy,Design,Happy,Animal,Female,Yes,False
000023760.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000023760.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000023760.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000022526.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000022526.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000022526.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000006014.jpg,gemma,,,,,,,,,,,,,,,Easy,Accident,Sad,Human-Adult,Neutral,Somewhat,Easy,Accident,Sad,Human-Adult,Neutral,Somewhat,False
000006014.jpg,qwen,,,,,,,,,,,,,,,Easy,Accident,Sad,Human-Adult,Neutral,Somewhat,Easy,Accident,Sad,Human-Adult,Neutral,Somewhat,False
000006014.jpg,gemini,,,,,,,,,,,,,,,Easy,Accident,Sad,Human-Adult,Neutral,Somewhat,Easy,Accident,Sad,Human-Adult,Neutral,Somewhat,False
000014465.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000014465.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000014465.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000024917.jpg,gemma,,,,,,,,,,,,,,,Medium,Accident,Surprised,Alien,Neutral,No,Medium,Accident,Surprised,Alien,Neutral,No,False
000024917.jpg,qwen,,,,,,,,,,,,,,,Medium,Accident,Surprised,Alien,Neutral,No,Medium,Accident,Surprised,Alien,Neutral,No,False
000024917.jpg,gemini,,,,,,,,,,,,,,,Medium,Accident,Surprised,Alien,Neutral,No,Medium,Accident,Surprised,Alien,Neutral,No,False
000006605.jpg,gemma,,,,,,,,,,,,,,,Hard,Accident,Neutral,Animal,Neutral,No,Hard,Accident,Neutral,Animal,Neutral,No,False
000006605.jpg,qwen,,,,,,,,,,,,,,,Hard,Accident,Neutral,Animal,Neutral,No,Hard,Accident,Neutral,Animal,Neutral,No,False
000006605.jpg,gemini,,,,,,,,,,,,,,,Hard,Accident,Neutral,Animal,Neutral,No,Hard,Accident,Neutral,Animal,Neutral,No,False
000027359.jpg,gemma,,,,,,,,,,,,,,,Easy,Accident,Happy,Other,Neutral,Yes,Easy,Accident,Happy,Other,Neutral,Yes,False
000027359.jpg,qwen,,,,,,,,,,,,,,,Easy,Accident,Happy,Other,Neutral,Yes,Easy,Accident,Happy,Other,Neutral,Yes,False
000027359.jpg,gemini,,,,,,,,,,,,,,,Easy,Accident,Happy,Other,Neutral,Yes,Easy,Accident,Happy,Other,Neutral,Yes,False
000024110.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Happy,Other,Neutral,No,Easy,Design,Happy,Other,Neutral,No,False
000024110.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Happy,Other,Neutral,No,Easy,Design,Happy,Other,Neutral,No,False
000024110.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Happy,Other,Neutral,No,Easy,Design,Happy,Other,Neutral,No,False
000018968.jpg,gemma,,,,,,,,,,,,,,,Easy,Accident,Neutral,Human-Adult,Male,No,Easy,Accident,Neutral,Human-Adult,Male,No,False
000018968.jpg,qwen,,,,,,,,,,,,,,,Easy,Accident,Neutral,Human-Adult,Male,No,Easy,Accident,Neutral,Human-Adult,Male,No,False
000018968.jpg,gemini,,,,,,,,,,,,,,,Easy,Accident,Neutral,Human-Adult,Male,No,Easy,Accident,Neutral,Human-Adult,Male,No,False
000013231.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Surprised,Human-Adult,Male,No,Easy,Design,Surprised,Human-Adult,Male,No,False
000013231.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Surprised,Human-Adult,Male,No,Easy,Design,Surprised,Human-Adult,Male,No,False
000013231.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Surprised,Human-Adult,Male,No,Easy,Design,Surprised,Human-Adult,Male,No,False
000015140.jpg,gemma,,,,,,,,,,,,,,,Medium,Accident,Neutral,Other,Neutral,No,Medium,Accident,Neutral,Other,Neutral,No,False
000015140.jpg,qwen,,,,,,,,,,,,,,,Medium,Accident,Neutral,Other,Neutral,No,Medium,Accident,Neutral,Other,Neutral,No,False
000015140.jpg,gemini,,,,,,,,,,,,,,,Medium,Accident,Neutral,Other,Neutral,No,Medium,Accident,Neutral,Other,Neutral,No,False
000010829.jpg,gemma,,,,,,,,,,,,,,,Hard,Accident,Sad,Alien,Neutral,No,Hard,Accident,Sad,Alien,Neutral,No,False
000010829.jpg,qwen,,,,,,,,,,,,,,,Hard,Accident,Sad,Alien,Neutral,No,Hard,Accident,Sad,Alien,Neutral,No,False
000010829.jpg,gemini,,,,,,,,,,,,,,,Hard,Accident,Sad,Alien,Neutral,No,Hard,Accident,Sad,Alien,Neutral,No,False
000007486.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Happy,Human-Young,Neutral,Somewhat,Easy,Design,Happy,Human-Young,Neutral,Somewhat,False
000007486.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Happy,Human-Young,Neutral,Somewhat,Easy,Design,Happy,Human-Young,Neutral,Somewhat,False
000007486.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Happy,Human-Young,Neutral,Somewhat,Easy,Design,Happy,Human-Young,Neutral,Somewhat,False
000027945.jpg,gemma,,,,,,,,,,,,,,,Medium,Accident,Neutral,Robot,Neutral,No,Medium,Accident,Neutral,Robot,Neutral,No,False
000027945.jpg,qwen,,,,,,,,,,,,,,,Medium,Accident,Neutral,Robot,Neutral,No,Medium,Accident,Neutral,Robot,Neutral,No,False
000027945.jpg,gemini,,,,,,,,,,,,,,,Medium,Accident,Neutral,Robot,Neutral,No,Medium,Accident,Neutral,Robot,Neutral,No,False
000000350.jpg,gemma,,,,,,,,,,,,,,,Easy,Accident,Happy,Robot,Neutral,Somewhat,Easy,Accident,Happy,Robot,Neutral,Somewhat,False
000000350.jpg,qwen,,,,,,,,,,,,,,,Easy,Accident,Happy,Robot,Neutral,Somewhat,Easy,Accident,Happy,Robot,Neutral,Somewhat,False
000000350.jpg,gemini,,,,,,,,,,,,,,,Easy,Accident,Happy,Robot,Neutral,Somewhat,Easy,Accident,Happy,Robot,Neutral,Somewhat,False
000006512.jpg,gemma,,,,,,,,,,,,,,,Medium,Accident,Happy,Human-Adult,Male,Somewhat,Medium,Accident,Happy,Human-Adult,Male,Somewhat,False
000006512.jpg,qwen,,,,,,,,,,,,,,,Medium,Accident,Happy,Human-Adult,Male,Somewhat,Medium,Accident,Happy,Human-Adult,Male,Somewhat,False
000006512.jpg,gemini,,,,,,,,,,,,,,,Medium,Accident,Happy,Human-Adult,Male,Somewhat,Medium,Accident,Happy,Human-Adult,Male,Somewhat,False
000012705.jpg,gemma,,,,,,,,,,,,,,,Hard,Accident,Angry,Alien,Neutral,No,Hard,Accident,Angry,Alien,Neutral,No,False
000012705.jpg,qwen,,,,,,,,,,,,,,,Hard,Accident,Angry,Alien,Neutral,No,Hard,Accident,Angry,Alien,Neutral,No,False
000012705.jpg,gemini,,,,,,,,,,,,,,,Hard,Accident,Angry,Alien,Neutral,No,Hard,Accident,Angry,Alien,Neutral,No,False
000026560.jpg,gemma,,,,,,,,,,,,,,,Hard,Accident,Neutral,Alien,Neutral,No,Hard,Accident,Neutral,Alien,Neutral,No,False
000026560.jpg,qwen,,,,,,,,,,,,,,,Hard,Accident,Neutral,Alien,Neutral,No,Hard,Accident,Neutral,Alien,Neutral,No,False
000026560.jpg,gemini,,,,,,,,,,,,,,,Hard,Accident,Neutral,Alien,Neutral,No,Hard,Accident,Neutral,Alien,Neutral,No,False
000001290.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Happy,Human-Young,Neutral,No,Easy,Design,Happy,Human-Young,Neutral,No,False
000001290.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Happy,Human-Young,Neutral,No,Easy,Design,Happy,Human-Young,Neutral,No,False
000001290.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Happy,Human-Young,Neutral,No,Easy,Design,Happy,Human-Young,Neutral,No,False
000004766.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Surprised,Cartoon,Neutral,No,Easy,Design,Surprised,Cartoon,Neutral,No,False
000004766.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Surprised,Cartoon,Neutral,No,Easy,Design,Surprised,Cartoon,Neutral,No,False
000004766.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Surprised,Cartoon,Neutral,No,Easy,Design,Surprised,Cartoon,Neutral,No,False
000011770.jpg,gemma,,,,,,,,,,,,,,,Easy,Accident,Neutral,Human-Adult,Male,No,Easy,Accident,Neutral,Human-Adult,Male,No,False
000011770.jpg,qwen,,,,,,,,,,,,,,,Easy,Accident,Neutral,Human-Adult,Male,No,Easy,Accident,Neutral,Human-Adult,Male,No,False
000011770.jpg,gemini,,,,,,,,,,,,,,,Easy,Accident,Neutral,Human-Adult,Male,No,Easy,Accident,Neutral,Human-Adult,Male,No,False
000020006.jpg,gemma,,,,,,,,,,,,,,,Easy,Accident,Neutral,Human-Old,Neutral,No,Easy,Accident,Neutral,Human-Old,Neutral,No,False
000020006.jpg,qwen,,,,,,,,,,,,,,,Easy,Accident,Neutral,Human-Old,Neutral,No,Easy,Accident,Neutral,Human-Old,Neutral,No,False
000020006.jpg,gemini,,,,,,,,,,,,,,,Easy,Accident,Neutral,Human-Old,Neutral,No,Easy,Accident,Neutral,Human-Old,Neutral,No,False
000018753.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Happy,Other,Neutral,No,Easy,Design,Happy,Other,Neutral,No,False
000018753.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Happy,Other,Neutral,No,Easy,Design,Happy,Other,Neutral,No,False
000018753.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Happy,Other,Neutral,No,Easy,Design,Happy,Other,Neutral,No,False
000021487.jpg,gemma,,,,,,,,,,,,,,,Hard,Accident,Neutral,Human-Old,Male,No,Hard,Accident,Neutral,Human-Old,Male,No,False
000021487.jpg,qwen,,,,,,,,,,,,,,,Hard,Accident,Neutral,Human-Old,Male,No,Hard,Accident,Neutral,Human-Old,Male,No,False
000021487.jpg,gemini,,,,,,,,,,,,,,,Hard,Accident,Neutral,Human-Old,Male,No,Hard,Accident,Neutral,Human-Old,Male,No,False
000015365.jpg,gemma,,,,,,,,,,,,,,,Medium,Accident,Scared,Animal,Male,No,Medium,Accident,Scared,Animal,Male,No,False
000015365.jpg,qwen,,,,,,,,,,,,,,,Medium,Accident,Scared,Animal,Male,No,Medium,Accident,Scared,Animal,Male,No,False
000015365.jpg,gemini,,,,,,,,,,,,,,,Medium,Accident,Scared,Animal,Male,No,Medium,Accident,Scared,Animal,Male,No,False
000025846.jpg,gemma,,,,,,,,,,,,,,,Easy,Accident,Surprised,Robot,Neutral,No,Easy,Accident,Surprised,Robot,Neutral,No,False
000025846.jpg,qwen,,,,,,,,,,,,,,,Easy,Accident,Surprised,Robot,Neutral,No,Easy,Accident,Surprised,Robot,Neutral,No,False
000025846.jpg,gemini,,,,,,,,,,,,,,,Easy,Accident,Surprised,Robot,Neutral,No,Easy,Accident,Surprised,Robot,Neutral,No,False
000022435.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Scared,Animal,Neutral,Somewhat,Easy,Design,Scared,Animal,Neutral,Somewhat,False
000022435.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Scared,Animal,Neutral,Somewhat,Easy,Design,Scared,Animal,Neutral,Somewhat,False
000022435.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Scared,Animal,Neutral,Somewhat,Easy,Design,Scared,Animal,Neutral,Somewhat,False
000015039.jpg,gemma,,,,,,,,,,,,,,,Medium,Accident,Surprised,Robot,Neutral,No,Medium,Accident,Surprised,Robot,Neutral,No,False
