attribute,_image_file,pred_raw,gt_raw,pred_norm,gt_norm
Hard to spot?,000001297.jpg,Medium,Easy,medium,easy
Hard to spot?,000001330.jpg,Easy,Hard,easy,hard
Hard to spot?,000001331.jpg,Medium,Easy,medium,easy
Hard to spot?,000001417.jpg,Medium,Hard,medium,hard
Hard to spot?,000001451.jpg,Hard,Easy,hard,easy
Hard to spot?,000001454.jpg,Medium,Easy,medium,easy
Hard to spot?,000001474.jpg,Medium,Easy,medium,easy
Hard to spot?,000001484.jpg,Medium,Easy,medium,easy
Hard to spot?,000001522.jpg,Medium,Easy,medium,easy
Hard to spot?,000001561.jpg,Medium,Hard,medium,hard
Hard to spot?,000001563.jpg,Easy,Medium,easy,medium
Hard to spot?,000001568.jpg,Medium,Hard,medium,hard
Hard to spot?,000001597.jpg,Easy,Medium,easy,medium
Hard to spot?,000001624.jpg,Medium,Hard,medium,hard
Hard to spot?,000001661.jpg,Easy,Medium,easy,medium
Hard to spot?,000001672.jpg,Easy,Medium,easy,medium
Hard to spot?,000001756.jpg,Easy,Medium,easy,medium
Hard to spot?,000001831.jpg,Medium,Easy,medium,easy
Hard to spot?,000001848.jpg,Easy,,easy,nan
Hard to spot?,000001954.jpg,Easy,Medium,easy,medium
Hard to spot?,000001981.jpg,Easy,Medium,easy,medium
Hard to spot?,000001982.jpg,Easy,Medium,easy,medium
Hard to spot?,000001992.jpg,Easy,Hard,easy,hard
Hard to spot?,000002081.jpg,Medium,Hard,medium,hard
Hard to spot?,000002088.jpg,Hard,Medium,hard,medium
Hard to spot?,000002098.jpg,Easy,Medium,easy,medium
Hard to spot?,000002146.jpg,Easy,,easy,nan
Hard to spot?,000002153.jpg,Medium,Hard,medium,hard
Hard to spot?,000002160.jpg,Medium,Hard,medium,hard
Hard to spot?,000002206.jpg,Easy,Medium,easy,medium
Hard to spot?,000002298.jpg,Medium,Hard,medium,hard
Hard to spot?,000002368.jpg,Medium,Easy,medium,easy
Hard to spot?,000002373.jpg,Medium,Easy,medium,easy
Hard to spot?,000002403.jpg,Medium,Easy,medium,easy
Hard to spot?,000002408.jpg,Medium,Hard,medium,hard
Hard to spot?,000002416.jpg,Medium,Easy,medium,easy
Hard to spot?,000002419.jpg,Medium,Easy,medium,easy
Hard to spot?,000002420.jpg,Medium,Easy,medium,easy
Hard to spot?,000002462.jpg,Medium,Hard,medium,hard
Hard to spot?,000002470.jpg,Medium,,medium,nan
Hard to spot?,000002476.jpg,Easy,Medium,easy,medium
Hard to spot?,000002523.jpg,Medium,Easy,medium,easy
Hard to spot?,000002561.jpg,Easy,Hard,easy,hard
Hard to spot?,000002566.jpg,Easy,Medium,easy,medium
Hard to spot?,000002572.jpg,Medium,Hard,medium,hard
Hard to spot?,000002609.jpg,Medium,Hard,medium,hard
Hard to spot?,000002613.jpg,Hard,Easy,hard,easy
Hard to spot?,000002641.jpg,Medium,Easy,medium,easy
Hard to spot?,000002668.jpg,Medium,Hard,medium,hard
Hard to spot?,000002695.jpg,Hard,Medium,hard,medium
Hard to spot?,000002761.jpg,Medium,Hard,medium,hard
Hard to spot?,000002775.jpg,Medium,Easy,medium,easy
Hard to spot?,000002776.jpg,Medium,Hard,medium,hard
Hard to spot?,000002807.jpg,Easy,Hard,easy,hard
Hard to spot?,000002808.jpg,Easy,Medium,easy,medium
Hard to spot?,000002876.jpg,Medium,Easy,medium,easy
Hard to spot?,000002894.jpg,Medium,Hard,medium,hard
Hard to spot?,000002905.jpg,Medium,Hard,medium,hard
Hard to spot?,000002911.jpg,Hard,Easy,hard,easy
Hard to spot?,000002973.jpg,Medium,Hard,medium,hard
Hard to spot?,000003029.jpg,Hard,Easy,hard,easy
Hard to spot?,000003030.jpg,Easy,Medium,easy,medium
Hard to spot?,000003032.jpg,Medium,,medium,nan
Hard to spot?,000003038.jpg,Medium,,medium,nan
Hard to spot?,000003039.jpg,Easy,Medium,easy,medium
Hard to spot?,000003046.jpg,Medium,Hard,medium,hard
Hard to spot?,000003061.jpg,Easy,Hard,easy,hard
Hard to spot?,000003067.jpg,Easy,Medium,easy,medium
Hard to spot?,000003094.jpg,Easy,Hard,easy,hard
Hard to spot?,000003107.jpg,Medium,Easy,medium,easy
Hard to spot?,000003201.jpg,Hard,Medium,hard,medium
Hard to spot?,000003212.jpg,Easy,Hard,easy,hard
Hard to spot?,000003213.jpg,Medium,Hard,medium,hard
Hard to spot?,000003296.jpg,Easy,Medium,easy,medium
Hard to spot?,000003327.jpg,Medium,Hard,medium,hard
Hard to spot?,000003370.jpg,Medium,Easy,medium,easy
Hard to spot?,000003377.jpg,Medium,Hard,medium,hard
Hard to spot?,000003386.jpg,Easy,Medium,easy,medium
Hard to spot?,000003403.jpg,Easy,Medium,easy,medium
Hard to spot?,000003436.jpg,Medium,Hard,medium,hard
Hard to spot?,000003516.jpg,Medium,Easy,medium,easy
Hard to spot?,000003517.jpg,Easy,Medium,easy,medium
Hard to spot?,000003550.jpg,Easy,Medium,easy,medium
Hard to spot?,000003570.jpg,Hard,Easy,hard,easy
Hard to spot?,000003603.jpg,Hard,Easy,hard,easy
Hard to spot?,000003658.jpg,Medium,Easy,medium,easy
Hard to spot?,000003684.jpg,Medium,Easy,medium,easy
Hard to spot?,000003728.jpg,Medium,Hard,medium,hard
Hard to spot?,000003754.jpg,Medium,Easy,medium,easy
Hard to spot?,000003820.jpg,Medium,Hard,medium,hard
Hard to spot?,000003823.jpg,Medium,Hard,medium,hard
Hard to spot?,000003866.jpg,Easy,Medium,easy,medium
Hard to spot?,000003890.jpg,Easy,Medium,easy,medium
Hard to spot?,000003891.jpg,Medium,Hard,medium,hard
Hard to spot?,000003904.jpg,Easy,Medium,easy,medium
Hard to spot?,000003920.jpg,Medium,Easy,medium,easy
Hard to spot?,000003938.jpg,Easy,Medium,easy,medium
Hard to spot?,000003945.jpg,Easy,Medium,easy,medium
Hard to spot?,000003998.jpg,Medium,Easy,medium,easy
Hard to spot?,000004003.jpg,Medium,Easy,medium,easy
Hard to spot?,000004021.jpg,Medium,Easy,medium,easy
Hard to spot?,000004040.jpg,Medium,Easy,medium,easy
Hard to spot?,000004050.jpg,Easy,Medium,easy,medium
Hard to spot?,000004055.jpg,Medium,Hard,medium,hard
Hard to spot?,000004063.jpg,Easy,Medium,easy,medium
Hard to spot?,000004070.jpg,Medium,Hard,medium,hard
Hard to spot?,000004072.jpg,Easy,Hard,easy,hard
Hard to spot?,000004110.jpg,Easy,Hard,easy,hard
Hard to spot?,000004113.jpg,Easy,Medium,easy,medium
Hard to spot?,000004122.jpg,Medium,Hard,medium,hard
Hard to spot?,000004148.jpg,Medium,Hard,medium,hard
Hard to spot?,000004197.jpg,Medium,Hard,medium,hard
Hard to spot?,000004232.jpg,Easy,Medium,easy,medium
Hard to spot?,000004264.jpg,Medium,Hard,medium,hard
Hard to spot?,000004265.jpg,Medium,Easy,medium,easy
Hard to spot?,000004275.jpg,Easy,,easy,nan
Hard to spot?,000004277.jpg,Easy,Medium,easy,medium
Hard to spot?,000004320.jpg,Medium,Hard,medium,hard
Hard to spot?,000004362.jpg,Medium,Easy,medium,easy
Hard to spot?,000004388.jpg,Medium,Hard,medium,hard
Hard to spot?,000004417.jpg,Easy,Medium,easy,medium
Hard to spot?,000004466.jpg,Medium,Easy,medium,easy
Hard to spot?,000004518.jpg,Easy,Medium,easy,medium
Hard to spot?,000004556.jpg,Easy,Medium,easy,medium
Hard to spot?,000004582.jpg,Hard,Medium,hard,medium
Hard to spot?,000004583.jpg,Easy,Medium,easy,medium
Hard to spot?,000004624.jpg,Easy,Medium,easy,medium
Hard to spot?,000004645.jpg,Medium,Hard,medium,hard
Hard to spot?,000004649.jpg,Medium,Easy,medium,easy
Hard to spot?,000004673.jpg,Medium,Easy,medium,easy
Hard to spot?,000004679.jpg,Easy,Medium,easy,medium
Hard to spot?,000004681.jpg,Easy,Medium,easy,medium
Hard to spot?,000004684.jpg,Medium,Easy,medium,easy
Hard to spot?,000004703.jpg,Medium,Hard,medium,hard
Hard to spot?,000004715.jpg,Easy,Medium,easy,medium
Hard to spot?,000004724.jpg,Medium,Hard,medium,hard
Hard to spot?,000004742.jpg,Medium,Hard,medium,hard
Hard to spot?,000004770.jpg,Medium,Hard,medium,hard
Hard to spot?,000004778.jpg,Medium,,medium,nan
